iter	Logloss
0	0.6849545746
1	0.678187532
2	0.6719043801
3	0.6666009983
4	0.6616183639
5	0.657260481
6	0.6532589589
7	0.6496787453
8	0.646317444
9	0.6439414065
10	0.64144695
11	0.6392576578
12	0.6373008361
13	0.6358796929
14	0.6345616361
15	0.6331618313
16	0.6317480473
17	0.6303314425
18	0.6292658638
19	0.6283162814
20	0.6272758743
21	0.6263956645
22	0.6253771531
23	0.6242482302
24	0.6233624015
25	0.6226368384
26	0.6215988654
27	0.6211240173
28	0.620420259
29	0.6200236101
30	0.61961131
31	0.6188900806
32	0.6183548343
33	0.6178577834
34	0.6175014568
35	0.6169735357
36	0.6162192977
37	0.6158505048
38	0.6153786937
39	0.6150629283
40	0.614407898
41	0.6138965608
42	0.6135034721
43	0.613259104
44	0.6128278314
45	0.6123276297
46	0.6119383742
47	0.6116256003
48	0.6113397838
49	0.610846839
50	0.6106430094
51	0.6102376476
52	0.6100334426
53	0.6097428034
54	0.6095158154
55	0.6092553297
56	0.608886059
57	0.6086701497
58	0.6083562498
59	0.6080187479
60	0.6077996424
61	0.6075964383
62	0.6073497157
63	0.6071782803
64	0.6068467842
65	0.6065125695
66	0.6063697067
67	0.6061879093
68	0.6059703848
69	0.6058047732
70	0.6055331179
71	0.6053080408
72	0.6050972045
73	0.6048055074
74	0.6045567032
75	0.6043306024
76	0.6042184165
77	0.6040520656
78	0.6038483041
79	0.6035805616
80	0.60341015
81	0.6031703544
82	0.6029782859
83	0.602827916
84	0.6026252124
85	0.6024736482
86	0.6023220385
87	0.6021537084
88	0.6019826598
89	0.6017308301
90	0.6015912204
91	0.6014643274
92	0.6013405622
93	0.6011586397
94	0.6010043798
95	0.6008413502
96	0.6007167775
97	0.6005723109
98	0.6004263771
99	0.6003322424
100	0.6001598857
101	0.600053569
102	0.5999502665
103	0.5998139668
104	0.5996833315
105	0.5995679493
106	0.599476772
107	0.5993505045
108	0.5991935261
109	0.5990906558
110	0.5989507959
111	0.5988257113
112	0.598740642
113	0.5986407177
114	0.5984398227
115	0.5983002357
116	0.59821561
117	0.5980250088
118	0.5979106845
119	0.5978114881
120	0.5976623012
121	0.5975547105
122	0.5974225397
123	0.597318623
124	0.597229948
125	0.5970765411
126	0.5969700879
127	0.596839282
128	0.5967402677
129	0.5965657158
130	0.5964422123
131	0.5963340301
132	0.5962674215
133	0.5961462384
134	0.5960495899
135	0.5959427045
136	0.5958427915
137	0.5957662303
138	0.5956866321
139	0.5955323039
140	0.5954412403
141	0.5953141993
142	0.5952191092
143	0.5950689099
144	0.59500047
145	0.5949436206
146	0.5948418082
147	0.5947278706
148	0.5946529927
149	0.5945454362
150	0.5944162114
151	0.5943187098
152	0.5942320594
153	0.5940896289
154	0.5939228799
155	0.5938273688
156	0.5937338142
157	0.5936254501
158	0.5935393571
159	0.5934554138
160	0.5933966877
161	0.5933173511
162	0.5931655253
163	0.5930108445
164	0.5929101694
165	0.5927514394
166	0.5926426203
167	0.5925513178
168	0.5924471508
169	0.5923627071
170	0.5922275675
171	0.5921126859
172	0.5919995217
173	0.5919242572
174	0.5918610722
175	0.591705254
176	0.5915831041
177	0.5914541977
178	0.5913744289
179	0.5912374126
180	0.5911308911
181	0.5910328777
182	0.590874887
183	0.590768229
184	0.5906401758
185	0.5905434363
186	0.5904707082
187	0.5903538246
188	0.5902190377
189	0.5900884366
190	0.5899870222
191	0.5898651567
192	0.5897905859
193	0.5896834503
194	0.5895085002
195	0.5894220091
196	0.5893257474
197	0.5892490951
198	0.5891470666
199	0.5889589905
200	0.5888284007
201	0.5887521921
202	0.588628063
203	0.5885448477
204	0.5884083888
205	0.5883219659
206	0.5881961989
207	0.5881137912
208	0.5880295181
209	0.5879345416
210	0.5878083879
211	0.5877102949
212	0.5876309583
213	0.5875334112
214	0.5874344992
215	0.5873156024
216	0.587165915
217	0.587053058
218	0.5869565573
219	0.5868630937
220	0.5867820396
221	0.5866909191
222	0.5866197493
223	0.5865511274
224	0.5864921283
225	0.5863913509
226	0.5862597147
227	0.5861664558
228	0.5860883135
229	0.5859788119
230	0.5858929464
231	0.5858182278
232	0.585685966
233	0.5856033308
234	0.5854758576
235	0.5853802101
236	0.5852991787
237	0.5851900753
238	0.5850623064
239	0.5849861318
240	0.5848821582
241	0.5847932444
242	0.5846862565
243	0.5845688156
244	0.5844836553
245	0.5843937974
246	0.5843100361
247	0.5842146957
248	0.5841210728
249	0.5840450234
250	0.5839555295
251	0.5838911275
252	0.5838093112
253	0.583707294
254	0.5835916503
255	0.5835038056
256	0.5834078737
257	0.5833355779
258	0.5832239265
259	0.5831525407
260	0.5830402751
261	0.5829615186
262	0.5828732758
263	0.5827862046
264	0.5826974727
265	0.5826284186
266	0.5825440545
267	0.5824674364
268	0.582378295
269	0.5822707385
270	0.5821941659
271	0.582115671
272	0.5820329903
273	0.5819409712
274	0.581826044
275	0.5817536117
276	0.5816561898
277	0.5815696873
278	0.5814696606
279	0.5813684851
280	0.5812563105
281	0.5811812621
282	0.5810990478
283	0.5810125794
284	0.5809282494
285	0.5808461716
286	0.5807711572
287	0.5806485296
288	0.5805420309
289	0.5804539814
290	0.5803927302
291	0.5803009158
292	0.5802480816
293	0.5801426976
294	0.5801002596
295	0.579987687
296	0.5798881721
297	0.5798211427
298	0.5797407141
299	0.579652187
300	0.5795881603
301	0.5795418209
302	0.5794726303
303	0.5794053506
304	0.5793275268
305	0.5792432423
306	0.5791655778
307	0.5790795985
308	0.578966605
309	0.5788771679
310	0.5788088645
311	0.5787378994
312	0.5786660813
313	0.5784964887
314	0.5783945511
315	0.5783479273
316	0.5782699215
317	0.5782113205
318	0.5781425621
319	0.5780469601
320	0.5779631761
321	0.5779032101
322	0.5778365332
323	0.5777674905
324	0.5776717065
325	0.5775960552
326	0.5774971546
327	0.5774328095
328	0.5773653591
329	0.5772821438
330	0.5772132148
331	0.5771449001
332	0.5770575559
333	0.5769778325
334	0.5769039556
335	0.5768115157
336	0.5766762169
337	0.5765853694
338	0.5765051115
339	0.5764461237
340	0.5763772175
341	0.5763060477
342	0.5761855812
343	0.5761039469
344	0.5760294786
345	0.5759742899
346	0.5759005723
347	0.5758368527
348	0.5757634081
349	0.5756638591
350	0.5755911766
351	0.5755165603
352	0.5754397147
353	0.5753700805
354	0.5752919269
355	0.5752212234
356	0.5751524878
357	0.5750861749
358	0.5750010487
359	0.5748964381
360	0.5748184665
361	0.5747406768
362	0.5746474975
363	0.5745855183
364	0.574473685
