iter	Passed	Remaining
0	168	168465
1	181	90673
2	194	64645
3	207	51775
4	238	47410
5	256	42411
6	270	38410
7	284	35262
8	298	32853
9	311	30884
10	324	29171
11	338	27830
12	367	27934
13	388	27375
14	402	26399
15	415	25577
16	428	24787
17	442	24134
18	455	23517
19	469	23007
20	483	22559
21	497	22123
22	512	21772
23	526	21423
24	541	21112
25	556	20839
26	569	20522
27	582	20236
28	597	20022
29	617	19955
30	633	19793
31	649	19648
32	663	19454
33	676	19222
34	694	19138
35	710	19014
36	728	18965
37	744	18858
38	763	18824
39	782	18784
40	800	18726
41	821	18736
42	844	18797
43	864	18778
44	880	18690
45	899	18660
46	930	18861
47	944	18729
48	958	18593
49	974	18518
50	992	18464
51	1008	18383
52	1024	18311
53	1041	18236
54	1054	18122
55	1073	18098
56	1086	17974
57	1103	17928
58	1120	17872
59	1136	17800
60	1154	17770
61	1166	17653
62	1182	17593
63	1199	17543
64	1215	17486
65	1228	17389
66	1247	17375
67	1263	17324
68	1276	17225
69	1294	17193
70	1309	17137
71	1325	17078
72	1339	17008
73	1357	16985
74	1371	16914
75	1385	16842
76	1398	16767
77	1417	16756
78	1432	16700
79	1449	16665
80	1464	16610
81	1480	16572
82	1494	16508
83	1511	16486
84	1526	16433
85	1543	16405
86	1563	16408
87	1583	16414
88	1603	16408
89	1619	16375
90	1638	16362
91	1657	16359
92	1676	16347
93	1693	16321
94	1713	16327
95	1732	16316
96	1752	16316
97	1772	16310
98	1790	16298
99	1808	16279
100	1824	16237
101	1838	16187
102	1853	16141
103	1866	16078
104	1881	16039
105	1896	15992
106	1911	15951
107	1924	15898
108	1938	15842
109	1950	15784
110	1965	15738
111	1978	15690
112	1993	15647
113	2007	15600
114	2020	15551
115	2037	15529
116	2051	15485
117	2065	15435
118	2079	15392
119	2093	15349
120	2107	15307
121	2121	15264
122	2135	15226
123	2149	15186
124	2163	15145
125	2176	15099
126	2190	15057
127	2203	15012
128	2217	14972
129	2231	14936
130	2245	14897
131	2259	14858
132	2273	14819
133	2286	14774
134	2299	14734
135	2313	14699
136	2327	14662
137	2341	14623
138	2355	14588
139	2369	14552
140	2382	14512
141	2396	14480
142	2410	14447
143	2424	14414
144	2439	14383
145	2452	14347
146	2467	14318
147	2480	14282
148	2494	14249
149	2510	14228
150	2530	14227
151	2549	14222
152	2566	14209
153	2584	14200
154	2603	14190
155	2619	14174
156	2638	14168
157	2656	14156
158	2674	14144
159	2689	14121
160	2709	14118
161	2726	14102
162	2743	14087
163	2763	14085
164	2784	14089
165	2801	14075
166	2815	14045
167	2832	14025
168	2849	14009
169	2866	13993
170	2882	13972
171	2899	13956
172	2912	13924
173	2929	13905
174	2947	13896
175	2963	13874
176	2980	13856
177	2994	13827
178	3011	13812
179	3028	13797
180	3044	13775
181	3057	13742
182	3076	13734
183	3092	13712
184	3105	13681
185	3121	13658
186	3138	13644
187	3152	13616
188	3167	13590
189	3184	13577
190	3202	13563
191	3215	13532
192	3230	13509
193	3248	13497
194	3264	13477
195	3279	13454
196	3294	13429
197	3311	13411
198	3326	13390
199	3341	13366
200	3359	13353
201	3375	13334
202	3391	13315
203	3408	13299
204	3424	13281
205	3441	13263
206	3456	13242
207	3471	13219
208	3488	13202
209	3508	13197
210	3527	13191
211	3547	13187
212	3566	13176
213	3585	13170
214	3605	13163
215	3623	13150
216	3642	13145
217	3662	13138
218	3679	13122
219	3698	13112
220	3715	13097
221	3733	13084
222	3751	13072
223	3768	13055
224	3783	13032
225	3797	13005
226	3811	12978
227	3824	12950
228	3838	12924
229	3853	12900
230	3868	12876
231	3884	12858
232	3899	12835
233	3913	12810
234	3927	12784
235	3941	12758
236	3955	12734
237	3969	12708
238	3981	12678
239	3995	12651
240	4008	12625
241	4023	12603
242	4039	12585
243	4055	12563
244	4069	12539
245	4083	12515
246	4097	12490
247	4111	12466
248	4125	12442
249	4139	12417
250	4153	12393
251	4166	12368
252	4180	12342
253	4194	12318
254	4208	12294
255	4222	12270
256	4236	12246
257	4249	12222
258	4265	12202
259	4279	12179
260	4292	12154
261	4307	12132
262	4322	12111
263	4336	12090
264	4350	12066
265	4366	12050
266	4380	12025
267	4394	12004
268	4409	11981
269	4423	11958
270	4436	11935
271	4450	11912
272	4464	11889
273	4492	11902
274	4510	11890
275	4524	11869
276	4539	11849
277	4555	11830
278	4571	11813
279	4589	11802
280	4608	11790
281	4628	11784
282	4649	11779
283	4667	11767
284	4687	11759
285	4708	11755
286	4728	11746
287	4746	11735
288	4777	11753
289	4806	11766
290	4826	11760
291	4848	11756
292	4872	11756
293	4894	11753
294	4916	11748
295	4938	11745
296	4959	11738
297	4983	11738
298	5001	11726
299	5024	11724
300	5044	11715
301	5067	11711
302	5089	11708
303	5111	11702
304	5134	11700
305	5154	11690
306	5177	11688
307	5202	11687
308	5224	11683
309	5245	11676
310	5265	11666
311	5286	11657
312	5304	11643
313	5325	11634
314	5346	11626
315	5367	11619
316	5388	11610
317	5408	11599
318	5429	11590
319	5450	11582
320	5472	11574
321	5491	11563
322	5511	11550
323	5536	11551
324	5553	11533
325	5575	11527
326	5598	11522
327	5619	11514
328	5640	11504
329	5661	11493
330	5681	11483
331	5702	11474
332	5719	11457
333	5740	11446
334	5761	11436
335	5781	11425
336	5801	11412
337	5821	11402
338	5840	11388
339	5860	11376
340	5879	11361
341	5897	11346
342	5919	11337
343	5939	11325
344	5957	11311
345	5977	11298
346	5994	11280
347	6014	11268
348	6036	11260
349	6057	11248
350	6075	11233
351	6094	11220
352	6113	11205
353	6132	11191
354	6149	11173
355	6169	11161
356	6189	11148
357	6213	11141
358	6231	11127
359	6255	11120
360	6275	11108
361	6296	11096
362	6319	11089
363	6338	11075
364	6359	11064
365	6380	11051
366	6399	11038
367	6419	11024
368	6439	11010
369	6459	10999
370	6480	10987
371	6501	10976
372	6521	10963
373	6543	10952
374	6563	10939
375	6586	10930
376	6608	10920
377	6631	10911
378	6652	10900
379	6675	10891
380	6697	10881
381	6717	10867
382	6740	10858
383	6762	10848
384	6785	10838
385	6806	10827
386	6830	10818
387	6850	10805
388	6875	10799
389	6896	10787
390	6920	10779
391	6941	10766
392	6966	10760
393	6989	10750
394	7012	10740
395	7035	10730
396	7057	10719
397	7077	10705
398	7100	10695
399	7124	10686
400	7147	10677
401	7170	10666
402	7191	10653
403	7213	10641
404	7235	10630
405	7262	10625
406	7283	10611
407	7304	10599
408	7329	10591
409	7348	10575
410	7371	10563
411	7393	10552
412	7415	10540
413	7438	10529
414	7461	10518
415	7483	10505
416	7507	10495
417	7532	10487
418	7553	10474
419	7575	10461
420	7596	10447
421	7618	10434
422	7639	10420
423	7662	10409
424	7682	10393
425	7705	10382
426	7726	10368
427	7749	10356
428	7772	10344
429	7794	10332
430	7816	10319
431	7835	10302
432	7858	10290
433	7883	10281
434	7905	10267
435	7927	10255
436	7949	10241
437	7967	10223
438	7989	10209
439	8009	10194
440	8032	10182
441	8054	10167
442	8073	10151
443	8094	10136
444	8116	10122
445	8137	10107
446	8157	10092
447	8176	10074
448	8194	10055
449	8213	10038
450	8230	10018
451	8250	10003
452	8272	9989
453	8293	9973
454	8313	9957
455	8331	9939
